Период,Сотрудник,Вид учета времени,Дни,Организация
29.01.2022,AUPR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,ANSV,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,ATUR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,SERS,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,SISH,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,EVAB,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,ALZI,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,ALIG,Отпуск,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,SELE,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,AXSI,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,GETR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,YUTK,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,SEVE,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,RKAR,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,SKOL,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,VAKR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,SEKU,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,RUPR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,ACHU,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,MITA,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,MABY,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,AKUR,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,IVSI,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,YEAV,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,ALGA,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,OLDO,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,LEZA,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,DMPI,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,SAST,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,ANFO,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,ANSH,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,DESE,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
29.01.2022,DMMO,Явка,1.00,"ОП ""Кольская"""
29.01.2022,NISO,Явка,1.00,"ОП ""Кольская"""
29.01.2022,MKRS,Явка,1.00,"ОП ""Кольская"""
30.01.2022,AKOR,Выходные дни,1.00,"ОП ""Азов"""
30.01.2022,VAKZ,Выходные дни,1.00,"ОП ""Азов"""
30.01.2022,OLTA,Выходные дни,1.00,"ОП ""Азов"""
30.01.2022,ALBO,Выходные дни,1.00,"ОП ""Азов"""
30.01.2022,RUGL,Выходные дни,1.00,"ОП ""Азов"""
30.01.2022,ANDA,Выходные дни,1.00,"ОП ""Азов"""
30.01.2022,ALKO,Выходные дни,1.00,"ОП ""Азов"""
30.01.2022,EGSO,Отпуск,1.00,"ОП ""Азов"""
30.01.2022,AIZA,Выходные дни,1.00,"ОП ""Астрахань"""
30.01.2022,ILKO,Выходные дни,1.00,"ОП ""Астрахань"""
30.01.2022,KOSK,Выходные дни,1.00,"ОП ""Астрахань"""
30.01.2022,MAIS,Больничный,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,KOAN,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,PAZH,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,EVZU,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,DKOR,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,ALKE,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,AUPR,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,ANSV,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,ATUR,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,SERS,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,SISH,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,EVAB,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,ALZI,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,ALIG,Отпуск,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,SELE,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,AXSI,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,GETR,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,YUTK,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,SEVE,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,RKAR,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,SKOL,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,VAKR,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,SEKU,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,RUPR,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,ACHU,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,MITA,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,MABY,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,AKUR,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,IVSI,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,YEAV,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,ALGA,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,OLDO,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,LEZA,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,DMPI,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,SAST,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,ANFO,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,ANSH,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,DESE,Выходные дни,1.00,"ОП ""Каменск-Красносулинский"""
30.01.2022,DMMO,Выходные дни,1.00,"ОП ""Кольская"""
30.01.2022,NISO,Выходные дни,1.00,"ОП ""Кольская"""
30.01.2022,MKRS,Выходные дни,1.00,"ОП ""Кольская"""
31.01.2022,AKOR,Явка,1.00,"ОП ""Азов"""
31.01.2022,VAKZ,Явка,1.00,"ОП ""Азов"""
31.01.2022,OLTA,Явка,1.00,"ОП ""Азов"""
31.01.2022,ALBO,Явка,1.00,"ОП ""Азов"""
31.01.2022,RUGL,Явка,1.00,"ОП ""Азов"""
31.01.2022,ANDA,Явка,1.00,"ОП ""Азов"""
31.01.2022,ALKO,Явка,1.00,"ОП ""Азов"""
31.01.2022,EGSO,Больничный,1.00,"ОП ""Азов"""
31.01.2022,AIZA,Явка,1.00,"ОП ""Астрахань"""
31.01.2022,ILKO,Явка,1.00,"ОП ""Астрахань"""
31.01.2022,KOSK,Явка,1.00,"ОП ""Астрахань"""
31.01.2022,MAIS,Больничный,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,KOAN,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,PAZH,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,EVZU,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,DKOR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,ALKE,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,AUPR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,ANSV,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,ATUR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,SERS,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,SISH,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,EVAB,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,ALZI,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,ALIG,Отпуск,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,SELE,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,AXSI,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,GETR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,YUTK,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,SEVE,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,RKAR,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,SKOL,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,VAKR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,SEKU,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,RUPR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,ACHU,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,MITA,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,MABY,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,AKUR,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,IVSI,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,YEAV,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,ALGA,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,OLDO,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,LEZA,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,DMPI,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,SAST,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,ANFO,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,ANSH,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,DESE,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
31.01.2022,DMMO,Явка,1.00,"ОП ""Кольская"""
31.01.2022,NISO,Явка,1.00,"ОП ""Кольская"""
31.01.2022,MKRS,Явка,1.00,"ОП ""Кольская"""
01.02.2022,AKOR,Явка,1.00,"ОП ""Азов"""
01.02.2022,VAKZ,Явка,1.00,"ОП ""Азов"""
01.02.2022,OLTA,Явка,1.00,"ОП ""Азов"""
01.02.2022,ALBO,Явка,1.00,"ОП ""Азов"""
01.02.2022,RUGL,Явка,1.00,"ОП ""Азов"""
01.02.2022,ANDA,Явка,1.00,"ОП ""Азов"""
01.02.2022,EGSO,Больничный,1.00,"ОП ""Азов"""
01.02.2022,ILKO,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Астрахань"""
01.02.2022,DMMO,Больничный,1.00,"ОП ""Кольская"""
01.02.2022,NISO,Больничный,1.00,"ОП ""Кольская"""
01.02.2022,MKRS,Явка,1.00,"ОП ""Кольская"""
01.02.2022,SERS,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,MAIS,Больничный,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,KOAN,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,SEVE,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,PAZH,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,AIZA,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,EVZU,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,DKOR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,SEKU,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,RUPR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,AUPR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,ANSV,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,KOSK,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,ATUR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,SISH,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,EVAB,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,ALZI,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,ALIG,Отпуск,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,SELE,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,AXSI,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,GETR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,YUTK,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,RKAR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,SKOL,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,VAKR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,ACHU,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,MITA,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,ALKE,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,AKUR,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,IVSI,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,YEAV,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,MABY,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,ALGA,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,OLDO,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,LEZA,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,ALKO,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,DMPI,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,SAST,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,ANFO,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,ANSH,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
01.02.2022,DESE,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,AKOR,Явка,1.00,"ОП ""Азов"""
02.02.2022,VAKZ,Явка,1.00,"ОП ""Азов"""
02.02.2022,OLTA,Явка,1.00,"ОП ""Азов"""
02.02.2022,ALBO,Явка,1.00,"ОП ""Азов"""
02.02.2022,RUGL,Явка,1.00,"ОП ""Азов"""
02.02.2022,ANDA,Явка,1.00,"ОП ""Азов"""
02.02.2022,EGSO,Больничный,1.00,"ОП ""Азов"""
02.02.2022,ILKO,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Астрахань"""
02.02.2022,DMMO,Больничный,1.00,"ОП ""Кольская"""
02.02.2022,NISO,Больничный,1.00,"ОП ""Кольская"""
02.02.2022,MKRS,Явка,1.00,"ОП ""Кольская"""
02.02.2022,SERS,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,MAIS,Больничный,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,KOAN,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,SEVE,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,PAZH,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,AIZA,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,EVZU,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,DKOR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,SEKU,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,RUPR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,AUPR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,ANSV,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,KOSK,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,ATUR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,SISH,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,EVAB,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,ALZI,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,ALIG,Отпуск,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,SELE,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,AXSI,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,GETR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,YUTK,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,RKAR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,SKOL,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,VAKR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,ACHU,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,MITA,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,ALKE,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,AKUR,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,IVSI,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,YEAV,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,MABY,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,ALGA,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,OLDO,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,LEZA,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,ALKO,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,DMPI,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,SAST,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,ANFO,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,ANSH,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
02.02.2022,DESE,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,AKOR,Явка,1.00,"ОП ""Азов"""
03.02.2022,VAKZ,Явка,1.00,"ОП ""Азов"""
03.02.2022,OLTA,Явка,1.00,"ОП ""Азов"""
03.02.2022,ALBO,Явка,1.00,"ОП ""Азов"""
03.02.2022,RUGL,Явка,1.00,"ОП ""Азов"""
03.02.2022,ANDA,Явка,1.00,"ОП ""Азов"""
03.02.2022,EGSO,Больничный,1.00,"ОП ""Азов"""
03.02.2022,ILKO,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Астрахань"""
03.02.2022,DMMO,Больничный,1.00,"ОП ""Кольская"""
03.02.2022,NISO,Больничный,1.00,"ОП ""Кольская"""
03.02.2022,MKRS,Явка,1.00,"ОП ""Кольская"""
03.02.2022,SERS,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,MAIS,Больничный,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,KOAN,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,SEVE,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,PAZH,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,AIZA,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,EVZU,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,DKOR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,SEKU,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,RUPR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,AUPR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,ANSV,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,KOSK,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,ATUR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,SISH,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,EVAB,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,ALZI,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,ALIG,Отпуск,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,SELE,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,AXSI,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,GETR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,YUTK,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,RKAR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,SKOL,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,VAKR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,ACHU,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,MITA,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,ALKE,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,AKUR,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,IVSI,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,YEAV,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,MABY,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,ALGA,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,OLDO,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,LEZA,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,ALKO,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,DMPI,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,SAST,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,ANFO,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,ANSH,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
03.02.2022,DESE,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
04.02.2022,AKOR,Явка,1.00,"ОП ""Азов"""
04.02.2022,VAKZ,Явка,1.00,"ОП ""Азов"""
04.02.2022,OLTA,Явка,1.00,"ОП ""Азов"""
04.02.2022,ALBO,Явка,1.00,"ОП ""Азов"""
04.02.2022,RUGL,Явка,1.00,"ОП ""Азов"""
04.02.2022,ANDA,Явка,1.00,"ОП ""Азов"""
04.02.2022,EGSO,Больничный,1.00,"ОП ""Азов"""
04.02.2022,ILKO,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Астрахань"""
04.02.2022,DMMO,Больничный,1.00,"ОП ""Кольская"""
04.02.2022,NISO,Больничный,1.00,"ОП ""Кольская"""
04.02.2022,MKRS,Явка,1.00,"ОП ""Кольская"""
04.02.2022,SERS,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
04.02.2022,MAIS,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
04.02.2022,KOAN,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
04.02.2022,SEVE,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
04.02.2022,PAZH,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
04.02.2022,AIZA,Отпуск неоплачиваемый с разрешения работодателя,1.00,"ОП ""Каменск-Красносулинский"""
04.02.2022,EVZU,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
04.02.2022,DKOR,Командировка,1.00,"ОП ""Каменск-Красносулинский"""
